percent_of_ami,household_size,income
120,1,110400
120,2,126150
120,3,141950
120,4,157700
120,5,170300
120,6,182950
120,7,195550
120,8,208150
110,1,101200
110,2,115610
110,3,130075
110,4,144540
110,5,156090
110,6,167640
110,7,179245
110,8,190795
100,1,92000
100,2,105100
100,3,118250
100,4,131400
100,5,141900
100,6,152400
100,7,162950
100,8,173450
80,1,72750
80,2,83150
80,3,93550
80,4,103900
80,5,112250
80,6,120550
80,7,128850
80,8,137150
60,1,61500
60,2,70260
60,3,79020
60,4,87780
60,5,94860
60,6,101880
60,7,108900
60,8,115920
55,1,56375
55,2,64405
55,3,72435
55,4,80465
55,5,86955
55,6,93390
55,7,99825
55,8,106260
50,1,51250
50,2,58550
50,3,65850
50,4,73150
50,5,79050
50,6,84900
50,7,90750
50,8,96600
45,1,46125
45,2,52695
45,3,59265
45,4,65835
45,5,71145
45,6,76410
45,7,81675
45,8,86940
40,1,41000
40,2,46840
40,3,52680
40,4,58520
40,5,63240
40,6,67920
40,7,72600
40,8,77280
35,1,35875
35,2,40985
35,3,46095
35,4,51205
35,5,55335
35,6,59430
35,7,63525
35,8,67620
30,1,30750
30,2,35130
30,3,39510
30,4,43890
30,5,47430
30,6,50940
30,7,54450
30,8,57950
25,1,25625
25,2,29275
25,3,32925
25,4,36575
25,5,39525
25,6,42450
25,7,45375
25,8,48300
20,1,20500
20,2,23420
20,3,26340
20,4,29260
20,5,31620
20,6,33960
20,7,36300
20,8,38640
15,1,15375
15,2,17565
15,3,19755
15,4,21945
15,5,23715
15,6,25470
15,7,27225
15,8,28980
